,zip,name,naics,est,n<5,n5_9,n10_19,n20_49,n50_99,n100_249,n250_499,n500_999,n1000,city,stabbr,cty_name
2080349,75247,"DALLAS, TX",611,9,6,0,0,0,0,0,0,0,0,DALLAS,TX,DALLAS
2079962,75246,"DALLAS, TX",813,6,0,0,0,0,0,0,0,0,0,DALLAS,TX,DALLAS
2079948,75246,"DALLAS, TX",624,6,0,0,3,0,0,0,0,0,0,DALLAS,TX,DALLAS
2079923,75246,"DALLAS, TX",611,3,0,0,0,0,0,0,0,0,0,DALLAS,TX,DALLAS
2079874,75244,"DALLAS, TX",813,30,15,5,0,4,0,0,0,0,0,DALLAS,TX,DALLAS
2079829,75244,"DALLAS, TX",624,9,4,3,0,0,0,0,0,0,0,DALLAS,TX,DALLAS
2079784,75244,"DALLAS, TX",611,28,16,4,3,0,0,0,0,0,0,DALLAS,TX,DALLAS
2079438,75243,"DALLAS, TX",813,41,26,9,0,4,0,0,0,0,0,DALLAS,TX,DALLAS
2079377,75243,"DALLAS, TX",624,34,13,6,10,0,0,3,0,0,0,DALLAS,TX,DALLAS
2079325,75243,"DALLAS, TX",611,25,14,5,0,3,0,0,0,0,0,DALLAS,TX,DALLAS
2078980,75241,"DALLAS, TX",813,18,11,5,0,0,0,0,0,0,0,DALLAS,TX,DALLAS
2078957,75241,"DALLAS, TX",624,12,5,5,0,0,0,0,0,0,0,DALLAS,TX,DALLAS
2078950,75241,"DALLAS, TX",611,4,0,0,0,0,0,0,0,0,0,DALLAS,TX,DALLAS
2078878,75240,"DALLAS, TX",813,23,13,4,3,3,0,0,0,0,0,DALLAS,TX,DALLAS
2078829,75240,"DALLAS, TX",624,13,8,0,0,0,0,0,0,0,0,DALLAS,TX,DALLAS
2078792,75240,"DALLAS, TX",611,10,4,0,5,0,0,0,0,0,0,DALLAS,TX,DALLAS
2078486,75238,"DALLAS, TX",813,37,22,7,3,4,0,0,0,0,0,DALLAS,TX,DALLAS
2078442,75238,"DALLAS, TX",624,11,3,0,0,4,0,0,0,0,0,DALLAS,TX,DALLAS
2078412,75238,"DALLAS, TX",611,9,7,0,0,0,0,0,0,0,0,DALLAS,TX,DALLAS
2078148,75237,"DALLAS, TX",813,7,3,0,0,0,0,0,0,0,0,DALLAS,TX,DALLAS
2078123,75237,"DALLAS, TX",624,15,0,5,4,0,0,0,0,0,0,DALLAS,TX,DALLAS
2078091,75237,"DALLAS, TX",611,12,7,0,0,3,0,0,0,0,0,DALLAS,TX,DALLAS
2077945,75236,"DALLAS, TX",813,7,0,0,0,0,0,0,0,0,0,DALLAS,TX,DALLAS
2077934,75236,"DALLAS, TX",624,6,0,0,0,0,0,0,0,0,0,DALLAS,TX,DALLAS
2077929,75236,"DALLAS, TX",611,7,0,0,0,0,0,0,0,0,0,DALLAS,TX,DALLAS
2077830,75235,"DALLAS, TX",813,11,5,3,0,0,0,0,0,0,0,DALLAS,TX,DALLAS
2077787,75235,"DALLAS, TX",624,20,8,4,0,4,0,0,0,0,0,DALLAS,TX,DALLAS
2077547,75234,"DALLAS, TX",813,39,28,5,0,5,0,0,0,0,0,DALLAS,TX,DALLAS
2077488,75234,"DALLAS, TX",624,13,6,0,0,3,0,0,0,0,0,DALLAS,TX,DALLAS
2077449,75234,"DALLAS, TX",611,22,11,5,0,0,0,0,0,0,0,DALLAS,TX,DALLAS
2077038,75233,"DALLAS, TX",813,10,5,4,0,0,0,0,0,0,0,DALLAS,TX,DALLAS
2077022,75233,"DALLAS, TX",624,4,0,0,0,0,0,0,0,0,0,DALLAS,TX,DALLAS
2076973,75232,"DALLAS, TX",813,19,7,6,3,0,0,0,0,0,0,DALLAS,TX,DALLAS
2076943,75232,"DALLAS, TX",624,12,8,0,0,0,0,0,0,0,0,DALLAS,TX,DALLAS
2076863,75231,"DALLAS, TX",813,28,16,0,3,0,3,0,0,0,0,DALLAS,TX,DALLAS
2076817,75231,"DALLAS, TX",624,20,9,5,3,0,0,0,0,0,0,DALLAS,TX,DALLAS
2076759,75231,"DALLAS, TX",611,28,14,0,8,5,0,0,0,0,0,DALLAS,TX,DALLAS
2076508,75230,"DALLAS, TX",813,38,22,6,4,4,0,0,0,0,0,DALLAS,TX,DALLAS
2076464,75230,"DALLAS, TX",624,18,9,0,3,0,0,0,0,0,0,DALLAS,TX,DALLAS
2076412,75230,"DALLAS, TX",611,30,11,3,7,3,3,3,0,0,0,DALLAS,TX,DALLAS
2076202,75229,"DALLAS, TX",813,34,22,7,0,0,0,0,0,0,0,DALLAS,TX,DALLAS
2076140,75229,"DALLAS, TX",624,14,6,4,0,0,0,0,0,0,0,DALLAS,TX,DALLAS
2076113,75229,"DALLAS, TX",611,21,7,5,0,0,0,0,3,0,0,DALLAS,TX,DALLAS
2075697,75228,"DALLAS, TX",813,38,21,9,4,4,0,0,0,0,0,DALLAS,TX,DALLAS
2075645,75228,"DALLAS, TX",624,30,12,5,5,3,0,3,0,0,0,DALLAS,TX,DALLAS
2075619,75228,"DALLAS, TX",611,8,3,0,0,0,0,0,0,0,0,DALLAS,TX,DALLAS
2075414,75227,"DALLAS, TX",813,18,11,3,3,0,0,0,0,0,0,DALLAS,TX,DALLAS
2075386,75227,"DALLAS, TX",624,10,5,4,0,0,0,0,0,0,0,DALLAS,TX,DALLAS
2075370,75227,"DALLAS, TX",611,7,0,0,3,0,0,0,0,0,0,DALLAS,TX,DALLAS
2075224,75226,"DALLAS, TX",813,9,3,3,0,0,0,0,0,0,0,DALLAS,TX,DALLAS
2075179,75226,"DALLAS, TX",624,5,3,0,0,0,0,0,0,0,0,DALLAS,TX,DALLAS
2075013,75225,"DALLAS, TX",813,45,23,5,4,4,5,4,0,0,0,DALLAS,TX,DALLAS
2074963,75225,"DALLAS, TX",624,6,3,0,0,0,0,0,0,0,0,DALLAS,TX,DALLAS
2074921,75225,"DALLAS, TX",611,13,6,0,0,0,0,0,0,0,0,DALLAS,TX,DALLAS
2074645,75224,"DALLAS, TX",813,22,15,3,0,0,0,0,0,0,0,DALLAS,TX,DALLAS
2074613,75224,"DALLAS, TX",624,13,6,5,0,0,0,0,0,0,0,DALLAS,TX,DALLAS
2074593,75224,"DALLAS, TX",611,4,0,0,0,0,0,0,0,0,0,DALLAS,TX,DALLAS
2074475,75223,"DALLAS, TX",813,8,5,0,0,0,0,0,0,0,0,DALLAS,TX,DALLAS
2074442,75223,"DALLAS, TX",611,7,0,0,0,4,0,0,0,0,0,DALLAS,TX,DALLAS
2074366,75222,"DALLAS, TX",813,5,4,0,0,0,0,0,0,0,0,DALLAS,TX,DALLAS
2074345,75220,"DALLAS, TX",813,10,7,0,0,0,0,0,0,0,0,DALLAS,TX,DALLAS
2074296,75220,"DALLAS, TX",624,8,4,0,0,0,0,0,0,0,0,DALLAS,TX,DALLAS
2074276,75220,"DALLAS, TX",611,7,0,0,0,3,0,0,0,0,0,DALLAS,TX,DALLAS
2073868,75219,"DALLAS, TX",813,48,29,7,5,4,0,0,0,0,0,DALLAS,TX,DALLAS
2073800,75219,"DALLAS, TX",624,19,12,3,0,0,0,0,0,0,0,DALLAS,TX,DALLAS
2073770,75219,"DALLAS, TX",611,12,10,0,0,0,0,0,0,0,0,DALLAS,TX,DALLAS
2073461,75218,"DALLAS, TX",813,26,17,0,4,3,0,0,0,0,0,DALLAS,TX,DALLAS
2073421,75218,"DALLAS, TX",624,12,5,3,0,0,0,0,0,0,0,DALLAS,TX,DALLAS
2073387,75218,"DALLAS, TX",611,12,6,0,0,3,0,0,0,0,0,DALLAS,TX,DALLAS
2073206,75217,"DALLAS, TX",813,31,21,6,4,0,0,0,0,0,0,DALLAS,TX,DALLAS
2073165,75217,"DALLAS, TX",624,12,3,5,0,0,0,0,0,0,0,DALLAS,TX,DALLAS
2073153,75217,"DALLAS, TX",611,9,3,3,0,3,0,0,0,0,0,DALLAS,TX,DALLAS
2072991,75216,"DALLAS, TX",813,46,33,10,3,0,0,0,0,0,0,DALLAS,TX,DALLAS
2072958,75216,"DALLAS, TX",624,12,5,4,3,0,0,0,0,0,0,DALLAS,TX,DALLAS
2072944,75216,"DALLAS, TX",611,4,0,0,0,0,0,0,0,0,0,DALLAS,TX,DALLAS
2072839,75215,"DALLAS, TX",813,26,22,3,0,0,0,0,0,0,0,DALLAS,TX,DALLAS
2072804,75215,"DALLAS, TX",624,26,9,6,4,5,0,0,0,0,0,DALLAS,TX,DALLAS
2072793,75215,"DALLAS, TX",611,7,4,0,0,0,0,0,0,0,0,DALLAS,TX,DALLAS
2072671,75214,"DALLAS, TX",813,30,21,5,0,0,0,0,0,0,0,DALLAS,TX,DALLAS
2072621,75214,"DALLAS, TX",624,13,8,0,3,0,0,0,0,0,0,DALLAS,TX,DALLAS
2072586,75214,"DALLAS, TX",611,20,5,5,5,0,0,0,0,0,0,DALLAS,TX,DALLAS
2072398,75212,"DALLAS, TX",813,17,11,3,0,0,0,0,0,0,0,DALLAS,TX,DALLAS
2072373,75212,"DALLAS, TX",624,10,0,0,4,3,0,0,0,0,0,DALLAS,TX,DALLAS
2072361,75212,"DALLAS, TX",611,4,0,0,0,0,0,0,0,0,0,DALLAS,TX,DALLAS
2072191,75211,"DALLAS, TX",813,20,10,7,0,3,0,0,0,0,0,DALLAS,TX,DALLAS
2072151,75211,"DALLAS, TX",624,8,4,3,0,0,0,0,0,0,0,DALLAS,TX,DALLAS
2072136,75211,"DALLAS, TX",611,4,0,0,0,0,0,0,0,0,0,DALLAS,TX,DALLAS
2071952,75210,"DALLAS, TX",813,9,6,0,0,0,0,0,0,0,0,DALLAS,TX,DALLAS
2071939,75210,"DALLAS, TX",624,3,0,0,0,0,0,0,0,0,0,DALLAS,TX,DALLAS
2071902,75209,"DALLAS, TX",813,18,10,5,0,0,0,0,0,0,0,DALLAS,TX,DALLAS
2071859,75209,"DALLAS, TX",624,6,3,0,0,0,0,0,0,0,0,DALLAS,TX,DALLAS
2071832,75209,"DALLAS, TX",611,5,0,0,0,0,0,0,0,0,0,DALLAS,TX,DALLAS
2071656,75208,"DALLAS, TX",813,31,15,7,7,0,0,0,0,0,0,DALLAS,TX,DALLAS
2071606,75208,"DALLAS, TX",624,19,8,0,4,0,3,0,0,0,0,DALLAS,TX,DALLAS
2071570,75208,"DALLAS, TX",611,20,12,0,0,3,0,0,0,0,0,DALLAS,TX,DALLAS
2071324,75207,"DALLAS, TX",813,13,5,0,5,0,0,0,0,0,0,DALLAS,TX,DALLAS
2071270,75207,"DALLAS, TX",624,6,0,0,0,3,0,0,0,0,0,DALLAS,TX,DALLAS
2071257,75207,"DALLAS, TX",611,10,3,0,0,0,0,0,0,0,0,DALLAS,TX,DALLAS
2070953,75206,"DALLAS, TX",813,36,20,6,5,5,0,0,0,0,0,DALLAS,TX,DALLAS
2070896,75206,"DALLAS, TX",624,21,9,3,0,6,0,0,0,0,0,DALLAS,TX,DALLAS
2070862,75206,"DALLAS, TX",611,16,9,0,0,3,0,0,0,0,0,DALLAS,TX,DALLAS
2070552,75205,"DALLAS, TX",813,32,17,9,0,0,0,3,0,0,0,DALLAS,TX,DALLAS
2070501,75205,"DALLAS, TX",624,7,4,0,0,0,0,0,0,0,0,DALLAS,TX,DALLAS
2070472,75205,"DALLAS, TX",611,16,11,0,0,0,0,0,0,0,0,DALLAS,TX,DALLAS
2070200,75204,"DALLAS, TX",813,53,29,10,6,5,0,0,0,0,0,DALLAS,TX,DALLAS
2070138,75204,"DALLAS, TX",624,30,14,7,0,7,0,0,0,0,0,DALLAS,TX,DALLAS
2070104,75204,"DALLAS, TX",611,14,6,0,3,0,0,0,0,0,0,DALLAS,TX,DALLAS
2069832,75203,"DALLAS, TX",813,14,5,4,4,0,0,0,0,0,0,DALLAS,TX,DALLAS
2069806,75203,"DALLAS, TX",624,7,0,0,3,0,0,0,0,0,0,DALLAS,TX,DALLAS
2069701,75202,"DALLAS, TX",813,10,7,0,0,0,0,0,0,0,0,DALLAS,TX,DALLAS
2069670,75202,"DALLAS, TX",624,8,4,0,0,0,0,0,0,0,0,DALLAS,TX,DALLAS
2069662,75202,"DALLAS, TX",611,6,3,0,0,0,0,0,0,0,0,DALLAS,TX,DALLAS
2069491,75201,"DALLAS, TX",813,65,43,5,4,4,3,4,0,0,0,DALLAS,TX,DALLAS
2069416,75201,"DALLAS, TX",624,18,6,3,3,4,0,0,0,0,0,DALLAS,TX,DALLAS
2069383,75201,"DALLAS, TX",611,10,5,0,0,0,0,0,0,0,0,DALLAS,TX,DALLAS
2069039,75189,"ROYSE CITY, TX",813,20,10,5,4,0,0,0,0,0,0,ROYSE CITY,TX,ROCKWALL
2069010,75189,"ROYSE CITY, TX",624,8,4,0,0,0,0,0,0,0,0,ROYSE CITY,TX,ROCKWALL
2068995,75189,"ROYSE CITY, TX",611,6,4,0,0,0,0,0,0,0,0,ROYSE CITY,TX,ROCKWALL
2068839,75185,"MESQUITE, TX",813,3,3,0,0,0,0,0,0,0,0,MESQUITE,TX,DALLAS
2068833,75182,"SUNNYVALE, TX",813,8,5,0,0,0,0,0,0,0,0,SUNNYVALE,TX,DALLAS
2068814,75182,"SUNNYVALE, TX",624,6,0,0,3,0,0,0,0,0,0,SUNNYVALE,TX,DALLAS
2068798,75182,"SUNNYVALE, TX",611,4,4,0,0,0,0,0,0,0,0,SUNNYVALE,TX,DALLAS
2068725,75181,"MESQUITE, TX",813,7,5,0,0,0,0,0,0,0,0,MESQUITE,TX,DALLAS
2068708,75181,"MESQUITE, TX",624,7,0,0,0,3,0,0,0,0,0,MESQUITE,TX,DALLAS
2068697,75181,"MESQUITE, TX",611,3,0,0,0,0,0,0,0,0,0,MESQUITE,TX,DALLAS
2068639,75180,"BALCH SPRINGS, TX",813,10,7,3,0,0,0,0,0,0,0,BALCH SPRINGS,TX,DALLAS
2068504,75173,"NEVADA, TX",813,3,0,0,0,0,0,0,0,0,0,NEVADA,TX,COLLIN
2068414,75169,"WILLS POINT, TX",813,17,11,4,0,0,0,0,0,0,0,WILLS POINT,TX,VAN ZANDT
2068401,75169,"WILLS POINT, TX",624,3,0,0,0,0,0,0,0,0,0,WILLS POINT,TX,VAN ZANDT
2068319,75168,"WAXAHACHIE, TX",813,9,9,0,0,0,0,0,0,0,0,WAXAHACHIE,TX,ELLIS
2068311,75167,"WAXAHACHIE, TX",813,6,5,0,0,0,0,0,0,0,0,WAXAHACHIE,TX,ELLIS
2068239,75166,"LAVON, TX",813,3,0,3,0,0,0,0,0,0,0,LAVON,TX,COLLIN
2068196,75165,"WAXAHACHIE, TX",813,42,23,10,4,4,0,0,0,0,0,WAXAHACHIE,TX,ELLIS
2068143,75165,"WAXAHACHIE, TX",624,18,8,0,6,0,0,0,0,0,0,WAXAHACHIE,TX,ELLIS
2068098,75165,"WAXAHACHIE, TX",611,15,10,0,0,0,0,0,0,0,0,WAXAHACHIE,TX,ELLIS
2067794,75161,"TERRELL, TX",813,3,0,0,0,0,0,0,0,0,0,TERRELL,TX,KAUFMAN
2067759,75160,"TERRELL, TX",813,22,15,6,0,0,0,0,0,0,0,TERRELL,TX,KAUFMAN
2067728,75160,"TERRELL, TX",624,6,5,0,0,0,0,0,0,0,0,TERRELL,TX,KAUFMAN
2067709,75160,"TERRELL, TX",611,4,0,0,0,0,0,0,0,0,0,TERRELL,TX,KAUFMAN
2067480,75159,"SEAGOVILLE, TX",813,11,6,4,0,0,0,0,0,0,0,SEAGOVILLE,TX,DALLAS
2067460,75159,"SEAGOVILLE, TX",624,5,3,0,0,0,0,0,0,0,0,SEAGOVILLE,TX,DALLAS
2067452,75159,"SEAGOVILLE, TX",611,6,6,0,0,0,0,0,0,0,0,SEAGOVILLE,TX,DALLAS
2067363,75158,"SCURRY, TX",813,3,0,0,0,0,0,0,0,0,0,SCURRY,TX,KAUFMAN
2067344,75156,"MABANK, TX",813,12,8,0,0,0,0,0,0,0,0,MABANK,TX,HENDERSON
2067330,75156,"MABANK, TX",624,3,0,0,0,3,0,0,0,0,0,MABANK,TX,HENDERSON
2067199,75154,"RED OAK, TX",813,24,12,7,3,0,0,0,0,0,0,RED OAK,TX,ELLIS
2067168,75154,"RED OAK, TX",624,10,4,0,3,0,0,0,0,0,0,RED OAK,TX,ELLIS
2067149,75154,"RED OAK, TX",611,6,3,3,0,0,0,0,0,0,0,RED OAK,TX,ELLIS
2066948,75151,"CORSICANA, TX",813,6,5,0,0,0,0,0,0,0,0,CORSICANA,TX,NAVARRO
2066937,75150,"MESQUITE, TX",813,30,21,6,0,0,0,0,0,0,0,MESQUITE,TX,DALLAS
2066886,75150,"MESQUITE, TX",624,21,5,6,9,0,0,0,0,0,0,MESQUITE,TX,DALLAS
2066850,75150,"MESQUITE, TX",611,10,5,0,0,0,0,0,0,0,0,MESQUITE,TX,DALLAS
2066571,75149,"MESQUITE, TX",813,33,15,8,7,3,0,0,0,0,0,MESQUITE,TX,DALLAS
2066525,75149,"MESQUITE, TX",624,14,7,3,0,3,0,0,0,0,0,MESQUITE,TX,DALLAS
2066494,75149,"MESQUITE, TX",611,9,5,0,0,0,0,0,0,0,0,MESQUITE,TX,DALLAS
2066282,75148,"MALAKOFF, TX",813,5,5,0,0,0,0,0,0,0,0,MALAKOFF,TX,HENDERSON
2066273,75148,"MALAKOFF, TX",624,3,0,0,0,0,0,0,0,0,0,MALAKOFF,TX,HENDERSON
2066230,75147,"MABANK, TX",813,13,5,7,0,0,0,0,0,0,0,MABANK,TX,KAUFMAN
2066210,75147,"MABANK, TX",624,6,3,0,0,0,0,0,0,0,0,MABANK,TX,KAUFMAN
2066154,75146,"LANCASTER, TX",813,14,11,0,0,0,0,0,0,0,0,LANCASTER,TX,DALLAS
2066131,75146,"LANCASTER, TX",624,10,5,0,0,0,0,0,0,0,0,LANCASTER,TX,DALLAS
2066112,75146,"LANCASTER, TX",611,3,0,0,0,0,0,0,0,0,0,LANCASTER,TX,DALLAS
2066001,75143,"KEMP, TX",813,12,6,5,0,0,0,0,0,0,0,KEMP,TX,KAUFMAN
2065980,75143,"KEMP, TX",624,4,3,0,0,0,0,0,0,0,0,KEMP,TX,KAUFMAN
2065905,75142,"KAUFMAN, TX",813,20,14,0,0,3,0,0,0,0,0,KAUFMAN,TX,KAUFMAN
2065878,75142,"KAUFMAN, TX",624,4,3,0,0,0,0,0,0,0,0,KAUFMAN,TX,KAUFMAN
2065738,75141,"HUTCHINS, TX",813,3,3,0,0,0,0,0,0,0,0,HUTCHINS,TX,DALLAS
2065672,75140,"GRAND SALINE, TX",813,10,7,0,0,0,0,0,0,0,0,GRAND SALINE,TX,VAN ZANDT
2065629,75138,"DUNCANVILLE, TX",813,3,0,0,0,0,0,0,0,0,0,DUNCANVILLE,TX,DALLAS
2065622,75137,"DUNCANVILLE, TX",813,9,5,0,0,0,0,0,0,0,0,DUNCANVILLE,TX,DALLAS
2065592,75137,"DUNCANVILLE, TX",624,10,4,4,0,0,0,0,0,0,0,DUNCANVILLE,TX,DALLAS
2065482,75135,"CADDO MILLS, TX",813,7,4,3,0,0,0,0,0,0,0,CADDO MILLS,TX,HUNT
2065467,75135,"CADDO MILLS, TX",624,4,0,0,0,0,0,0,0,0,0,CADDO MILLS,TX,HUNT
2065417,75134,"LANCASTER, TX",813,10,7,0,0,0,0,0,0,0,0,LANCASTER,TX,DALLAS
2065399,75134,"LANCASTER, TX",624,4,3,0,0,0,0,0,0,0,0,LANCASTER,TX,DALLAS
2065290,75126,"FORNEY, TX",813,20,15,0,0,0,0,0,0,0,0,FORNEY,TX,KAUFMAN
2065239,75126,"FORNEY, TX",624,16,6,0,5,4,0,0,0,0,0,FORNEY,TX,KAUFMAN
2065215,75126,"FORNEY, TX",611,19,13,4,0,0,0,0,0,0,0,FORNEY,TX,KAUFMAN
2065006,75125,"FERRIS, TX",813,4,3,0,0,0,0,0,0,0,0,FERRIS,TX,ELLIS
2064964,75124,"EUSTACE, TX",813,3,0,0,0,0,0,0,0,0,0,EUSTACE,TX,HENDERSON
2064936,75120,"ENNIS, TX",813,5,3,0,0,0,0,0,0,0,0,ENNIS,TX,ELLIS
2064924,75119,"ENNIS, TX",813,20,11,6,3,0,0,0,0,0,0,ENNIS,TX,ELLIS
2064876,75119,"ENNIS, TX",624,10,4,0,0,0,0,0,0,0,0,ENNIS,TX,ELLIS
2064658,75117,"EDGEWOOD, TX",813,3,3,0,0,0,0,0,0,0,0,EDGEWOOD,TX,VAN ZANDT
2064632,75116,"DUNCANVILLE, TX",813,21,15,4,0,0,0,0,0,0,0,DUNCANVILLE,TX,DALLAS
2064586,75116,"DUNCANVILLE, TX",624,15,7,3,3,0,0,0,0,0,0,DUNCANVILLE,TX,DALLAS
2064567,75116,"DUNCANVILLE, TX",611,6,3,3,0,0,0,0,0,0,0,DUNCANVILLE,TX,DALLAS
2064442,75115,"DESOTO, TX",813,36,25,6,0,3,0,0,0,0,0,DESOTO,TX,DALLAS
2064389,75115,"DESOTO, TX",624,36,16,7,11,0,0,0,0,0,0,DESOTO,TX,DALLAS
2064344,75115,"DESOTO, TX",611,10,4,0,0,0,0,0,0,0,0,DESOTO,TX,DALLAS
2064154,75114,"CRANDALL, TX",813,3,0,0,0,0,0,0,0,0,0,CRANDALL,TX,KAUFMAN
2064099,75110,"CORSICANA, TX",813,32,20,7,0,4,0,0,0,0,0,CORSICANA,TX,NAVARRO
2064053,75110,"CORSICANA, TX",624,24,9,5,5,3,0,0,0,0,0,CORSICANA,TX,NAVARRO
2063789,75106,"CEDAR HILL, TX",813,4,3,0,0,0,0,0,0,0,0,CEDAR HILL,TX,DALLAS
2063773,75104,"CEDAR HILL, TX",813,31,22,5,0,0,0,0,0,0,0,CEDAR HILL,TX,DALLAS
2063726,75104,"CEDAR HILL, TX",624,19,8,4,7,0,0,0,0,0,0,CEDAR HILL,TX,DALLAS
2063693,75104,"CEDAR HILL, TX",611,11,5,0,0,0,0,0,0,0,0,CEDAR HILL,TX,DALLAS
2063477,75103,"CANTON, TX",813,20,13,3,0,0,0,0,0,0,0,CANTON,TX,VAN ZANDT
2063450,75103,"CANTON, TX",624,9,4,0,3,0,0,0,0,0,0,CANTON,TX,VAN ZANDT
2063437,75103,"CANTON, TX",611,3,0,0,0,0,0,0,0,0,0,CANTON,TX,VAN ZANDT
2063306,75098,"WYLIE, TX",813,26,14,7,0,0,0,0,0,0,0,WYLIE,TX,COLLIN
2063268,75098,"WYLIE, TX",624,14,3,0,8,0,0,0,0,0,0,WYLIE,TX,COLLIN
2063236,75098,"WYLIE, TX",611,12,6,0,0,0,0,0,0,0,0,WYLIE,TX,COLLIN
2062978,75094,"PLANO, TX",813,7,6,0,0,0,0,0,0,0,0,PLANO,TX,COLLIN
2062946,75094,"PLANO, TX",624,7,0,0,3,0,0,0,0,0,0,PLANO,TX,COLLIN
2062923,75094,"PLANO, TX",611,12,6,3,3,0,0,0,0,0,0,PLANO,TX,COLLIN
2062785,75093,"PLANO, TX",813,34,19,5,0,3,3,0,0,0,0,PLANO,TX,COLLIN
2062718,75093,"PLANO, TX",624,29,11,0,5,10,0,0,0,0,0,PLANO,TX,COLLIN
2062650,75093,"PLANO, TX",611,53,29,6,10,5,0,0,0,0,0,PLANO,TX,COLLIN
2062281,75092,"SHERMAN, TX",813,23,11,5,7,0,0,0,0,0,0,SHERMAN,TX,GRAYSON
2062260,75092,"SHERMAN, TX",624,8,0,0,5,0,0,0,0,0,0,SHERMAN,TX,GRAYSON
2062227,75092,"SHERMAN, TX",611,4,0,0,0,0,0,0,0,0,0,SHERMAN,TX,GRAYSON
2062113,75091,"SHERMAN, TX",813,5,3,0,0,0,0,0,0,0,0,SHERMAN,TX,GRAYSON
2062099,75090,"SHERMAN, TX",813,22,11,6,0,3,0,0,0,0,0,SHERMAN,TX,GRAYSON
2062054,75090,"SHERMAN, TX",624,15,4,4,4,0,0,0,0,0,0,SHERMAN,TX,GRAYSON
2062015,75090,"SHERMAN, TX",611,9,0,0,0,0,0,0,0,0,0,SHERMAN,TX,GRAYSON
2061785,75089,"ROWLETT, TX",813,11,7,3,0,0,0,0,0,0,0,ROWLETT,TX,DALLAS
2061758,75089,"ROWLETT, TX",624,10,3,0,0,6,0,0,0,0,0,ROWLETT,TX,DALLAS
2061743,75089,"ROWLETT, TX",611,5,4,0,0,0,0,0,0,0,0,ROWLETT,TX,DALLAS
2061651,75088,"ROWLETT, TX",813,16,5,8,0,0,0,0,0,0,0,ROWLETT,TX,DALLAS
2061613,75088,"ROWLETT, TX",624,8,3,0,0,0,0,0,0,0,0,ROWLETT,TX,DALLAS
2061587,75088,"ROWLETT, TX",611,10,7,0,0,0,0,0,0,0,0,ROWLETT,TX,DALLAS
2061391,75087,"ROCKWALL, TX",813,43,27,7,4,5,0,0,0,0,0,ROCKWALL,TX,ROCKWALL
2061335,75087,"ROCKWALL, TX",624,17,4,4,4,5,0,0,0,0,0,ROCKWALL,TX,ROCKWALL
2061285,75087,"ROCKWALL, TX",611,18,9,3,3,0,0,0,0,0,0,ROCKWALL,TX,ROCKWALL
2060989,75086,"PLANO, TX",813,3,3,0,0,0,0,0,0,0,0,PLANO,TX,COLLIN
2060976,75083,"RICHARDSON, TX",813,6,4,0,0,0,0,0,0,0,0,RICHARDSON,TX,DALLAS
2060964,75082,"RICHARDSON, TX",813,12,6,0,0,0,0,0,0,0,0,RICHARDSON,TX,DALLAS
2060931,75082,"RICHARDSON, TX",624,6,3,0,0,3,0,0,0,0,0,RICHARDSON,TX,DALLAS
2060898,75082,"RICHARDSON, TX",611,6,3,0,0,0,0,0,0,0,0,RICHARDSON,TX,DALLAS
2060733,75081,"RICHARDSON, TX",813,41,19,7,8,5,0,0,0,0,0,RICHARDSON,TX,DALLAS
2060668,75081,"RICHARDSON, TX",624,24,11,4,7,0,0,0,0,0,0,RICHARDSON,TX,DALLAS
2060615,75081,"RICHARDSON, TX",611,30,16,3,4,4,0,0,0,0,0,RICHARDSON,TX,DALLAS
2060228,75080,"RICHARDSON, TX",813,56,27,16,7,0,3,0,0,0,0,RICHARDSON,TX,DALLAS
2060156,75080,"RICHARDSON, TX",624,38,17,6,6,7,0,0,0,0,0,RICHARDSON,TX,DALLAS
2060104,75080,"RICHARDSON, TX",611,26,11,8,5,0,0,0,0,0,0,RICHARDSON,TX,DALLAS
2059783,75078,"PROSPER, TX",813,13,9,0,0,3,0,0,0,0,0,PROSPER,TX,COLLIN
2059742,75078,"PROSPER, TX",624,18,6,0,5,6,0,0,0,0,0,PROSPER,TX,COLLIN
2059714,75078,"PROSPER, TX",611,21,14,0,3,0,0,0,0,0,0,PROSPER,TX,COLLIN
2059497,75077,"LEWISVILLE, TX",813,5,0,3,0,0,0,0,0,0,0,LEWISVILLE,TX,DENTON
2059449,75077,"LEWISVILLE, TX",624,22,8,3,5,5,0,0,0,0,0,LEWISVILLE,TX,DENTON
2059413,75077,"LEWISVILLE, TX",611,16,8,3,0,3,0,0,0,0,0,LEWISVILLE,TX,DENTON
2059216,75076,"POTTSBORO, TX",813,9,4,3,0,0,0,0,0,0,0,POTTSBORO,TX,GRAYSON
2059147,75075,"PLANO, TX",813,51,25,9,7,3,4,0,0,0,0,PLANO,TX,COLLIN
2059086,75075,"PLANO, TX",624,29,16,4,5,3,0,0,0,0,0,PLANO,TX,COLLIN
2059036,75075,"PLANO, TX",611,23,10,3,8,0,0,0,0,0,0,PLANO,TX,COLLIN
2058729,75074,"PLANO, TX",813,42,22,10,5,3,0,0,0,0,0,PLANO,TX,COLLIN
2058662,75074,"PLANO, TX",624,29,9,6,6,3,0,3,0,0,0,PLANO,TX,COLLIN
2058617,75074,"PLANO, TX",611,16,11,0,0,3,0,0,0,0,0,PLANO,TX,COLLIN
2058195,75072,"MCKINNEY, TX",813,16,12,0,0,0,0,0,0,0,0,MCKINNEY,TX,COLLIN
